nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio
Aceite Aurrera puro de soya 800 ml,$30.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-aurrera-puro-de-soya-800-ml/00750649501087,Bodega Aurrera,2026-04-24T23:22:42.165Z,30.0,0.8,L,37.5,Aceites,False
Aceite vegetal 1-2-3 1 l,$47.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-1-2-3-1-l/00000007500234,Bodega Aurrera,2026-04-24T23:22:42.165Z,47.0,1.0,L,47.0,Aceites,False
Aceite Nutrioli puro de soya 946 ml,$40.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-nutrioli-puro-de-soya-946-ml/00750103912014,Bodega Aurrera,2026-04-24T23:22:42.165Z,40.0,0.946,L,42.28329809725159,Aceites,False
Aceite Canoil puro de canola 946 ml,$38.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-canoil-puro-de-canola-946-ml/00750104810301,Bodega Aurrera,2026-04-24T23:22:42.165Z,38.0,0.946,L,40.16913319238901,Aceites,False
Aceite vegetal Aurrera comestible 3.5 l,$135.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-aurrera-comestible-3-5-l/00750179160401,Bodega Aurrera,2026-04-24T23:22:42.165Z,135.0,3.5,L,38.57142857142857,Aceites,False
Aceite puro de canola Capullo 750 ml,$45.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-puro-de-canola-capullo-750-ml/00750222377259,Bodega Aurrera,2026-04-24T23:22:42.165Z,45.0,0.75,L,60.0,Aceites,False
Aceite Vegetal Gran Tradición 850 ml,$30.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-gran-tradicion-850-ml/00750103912389,Bodega Aurrera,2026-04-24T23:22:42.165Z,30.0,0.85,L,35.294117647058826,Aceites,False
Aceite vegetal Sabrosano sabor mantequilla 850 ml,$35.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-sabrosano-sabor-mantequilla-850-ml/00750103912209,Bodega Aurrera,2026-04-24T23:22:42.165Z,35.0,0.85,L,41.1764705882353,Aceites,False
Aceite Great Value puro de soya 946 ml,$37.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-great-value-puro-de-soya-946-ml/00750179160987,Bodega Aurrera,2026-04-24T23:22:42.165Z,37.0,0.946,L,39.11205073995772,Aceites,False
Aceite Great Value puro de canola 946 ml,$36.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-great-value-puro-de-canola-946-ml/00750179160986,Bodega Aurrera,2026-04-24T23:22:42.165Z,36.0,0.946,L,38.05496828752643,Aceites,False
Aceite vegetal Aurrera comestible 450 ml,$20.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-vegetal-aurrera-comestible-450-ml/00750649500783,Bodega Aurrera,2026-04-24T23:22:42.165Z,20.0,0.45,L,44.44444444444444,Aceites,False
Aceite puro de Canola Aurrera 800 ml,$32.00,https://despensa.bodegaaurrera.com.mx/ip/aceite-puro-de-canola-aurrera-800-ml/00750649507174,Bodega Aurrera,2026-04-24T23:22:42.165Z,32.0,0.8,L,40.0,Aceites,False
Aceite Oléico puro de cártamo 825 ml,$65.00,https://www.walmart.com.mx/wapcrs/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=1&tax=264479_-1_120332&rdf=1&rd=https%3A%2F%2Fwww.walmart.com.mx%2Fip%2Faceite-oleico-puro-de-cartamo-825-ml%2F00750149106296&adUid=0a69653e-5a20-4269-a0df-d58f72970ae3&mloc=sp-search-middle&pltfm=desktop&pgId=aceite&pt=search&spQs=DVGhC1vwGe67Y6PlduHGxU3GPIKhTZB_0Tn6IDEV70RczyrSOBDqKegfbsYGZgI_hJDrHa6f9Wn7oC5ey6qTJTiGsp-7BUHqmcgi16blv1FG5g5jCUo1ddE-th2g4x51BTSK7iWI3GwzBXat01WIjYmB0YZ8oFoO_sdZcROSrvi_sk-cZftNvw9D28F3WEvsZH7iZI-86shO07_32xB5d_NJaZ2zyfJhLi1-pR1yyjtWi7f_DU7vNw2RhH9uWOVjkneYhOD_GK-qwlh4Wmw0kg&storeId=3721&tn=WMT_MX&wtn=hvgqan&bkt=ace1_default%7Cace2_default%7Cace3_default&/ip/aceite-oleico-puro-de-cartamo-825-ml/00750149106296,Walmart,2026-04-24T23:34:01.115Z,65.0,0.825,L,78.7878787878788,Aceites,False
Aceite vegetal 1-2-3 1 l,$48.00,https://www.walmart.com.mx/ip/aceite-vegetal-1-2-3-1-l/00000007500234?athbdg=L1600&from=/search,Walmart,2026-04-24T23:34:01.115Z,48.0,1.0,L,48.0,Aceites,False
