nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio
Media crema Media crema 190 g,$15.00,https://despensa.bodegaaurrera.com.mx/ip/media-crema-media-crema-190-g/00750105929728?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,15.0,0.19,kg,78.94736842105263,Otros / Sin Clasificar,False
Media Crema Nestlé Lata de 225 g,$22.50,https://despensa.bodegaaurrera.com.mx/ip/media-crema-nestle-lata-de-225-g/00750100160042?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,22.5,0.225,kg,100.0,Otros / Sin Clasificar,False
Leche en polvo Alpura deslactosada 150 g,$31.00,https://despensa.bodegaaurrera.com.mx/ip/leche-en-polvo-alpura-deslactosada-150-g/00750105591469?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,31.0,0.15,kg,206.66666666666669,Lacteos,False
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,173.0,1.0,L,173.0,Lacteos,False
Sustituto de crema Aurrera en polvo para café 226 g,$35.00,https://despensa.bodegaaurrera.com.mx/ip/sustituto-de-crema-aurrera-en-polvo-para-cafe-226-g/00750179163599?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,35.0,0.226,kg,154.86725663716814,Otros / Sin Clasificar,False
Leche Saborizada Lala Yomi Chocolate 960 ml,$35.00,https://despensa.bodegaaurrera.com.mx/ip/leche-saborizada-lala-yomi-chocolate-960-ml/00750102056699?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,35.0,0.96,L,36.458333333333336,Lacteos,False
Yoghurt griego Oikos natural 900 g,$79.00,https://despensa.bodegaaurrera.com.mx/ip/yoghurt-griego-oikos-natural-900-g/00750103239844?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,79.0,0.9,kg,87.77777777777777,Lacteos,False
Café Alpura Lechero de 315 ml,$22.50,https://despensa.bodegaaurrera.com.mx/ip/cafe-alpura-lechero-de-315-ml/00750105591518?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,22.5,0.315,L,71.42857142857143,Lacteos,False
Media crema Lala entera 480 ml,$35.00,https://despensa.bodegaaurrera.com.mx/ip/media-crema-lala-entera-480-ml/00750102056404?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,35.0,0.48,L,72.91666666666667,Otros / Sin Clasificar,False
Leche Saborizada Lala Yomi Chocolate 180 ml,$11.00,https://despensa.bodegaaurrera.com.mx/ip/leche-saborizada-lala-yomi-chocolate-180-ml/00750102057085?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,11.0,0.18,L,61.111111111111114,Lacteos,False
Leche Saborizada Lala Yomi Vainilla 180 ml,$11.00,https://despensa.bodegaaurrera.com.mx/ip/leche-saborizada-lala-yomi-vainilla-180-ml/00750102057087?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,11.0,0.18,L,61.111111111111114,Lacteos,False
Yoghurt griego Oikos natural sin azúcar añadida 670 g,$65.00,https://despensa.bodegaaurrera.com.mx/ip/yoghurt-griego-oikos-natural-sin-azucar-anadida-670-g/00750644310601?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,65.0,0.67,kg,97.01492537313432,Lacteos,False
Yoghurt Oikos estilo griego con fresa 4 pzas de 150 g c/u,$75.00,https://despensa.bodegaaurrera.com.mx/ip/yoghurt-oikos-estilo-griego-con-fresa-4-pzas-de-150-g-c-u/00750103239765?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,75.0,4.0,pzas,18.75,Lacteos,False
