nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,presentacion,precio_por_litro,marca
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,173.0,1.0,L,173.0,Lacteos,False,6x1L,28.833333333333332,Lala
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,173.0,1.0,L,173.0,Lacteos,False,6x1L,28.833333333333332,Lala
Leche Alpura deslactosada caja con 6 pzas de 1 l c/u,$172.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750105591287?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,6x1L,28.666666666666668,Alpura
Leche Santa Clara deslactosada caja con 6 pzas 1 l c/u,$180.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-caja-con-6-pzas-1-l-c-u/00750105536751?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,180.0,6.0,pzas,30.0,Lacteos,False,6x1L,30.0,Santa Clara
Leche Alpura deslactosada 1.5 l,$45.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-1-5-l/00750105591027?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,45.0,1.5,L,30.0,Lacteos,False,1.5L,30.0,Alpura
Leche Alpura deslactosada light caja con 6 pzas de 1 l c/u,$172.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-light-caja-con-6-pzas-de-1-l-c-u/00750105591355?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,6x1L,28.666666666666668,Alpura
Leche Santa Clara deslactosada 1.5 l,$55.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-1-5-l/00750105537544?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,55.0,1.5,L,36.66666666666666,Lacteos,False,1.5L,36.666666666666664,Santa Clara
Leche Santa Clara deslactosada light caja con 6 pzas 1 l c/u,$180.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-light-caja-con-6-pzas-1-l-c-u/00750105537150?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,180.0,6.0,pzas,30.0,Lacteos,False,6x1L,30.0,Santa Clara
Leche Alpura deslactosada light 1.5 l,$42.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-light-1-5-l/00750105591341?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,42.0,1.5,L,28.0,Lacteos,False,1.5L,28.0,Alpura
Leche Alpura Deslactosada 0% grasa 1.5 L,$45.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-0-grasa-1-5-l/00750105591863?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,45.0,1.5,L,30.0,Lacteos,False,1.5L,30.0,Alpura
