nombre,precio,url,tienda,fecha_actualizacion,precio_num,cant_std,unit_std,precio_unitario,categoria_limpia,posible_error_precio,precio_litro_final,marca
Leche Lala UHT deslactosada light 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-light-6-pack-1-l-c-u/00750102056600?from=/search,Bodega Aurrera,2026-04-24T22:47:27.084Z,173.0,1.0,L,173.0,Lacteos,False,28.833333333333332,Lala
Leche Alpura Semi 1 l,$30.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-semi-1-l/00750105590004?from=/search,Bodega Aurrera,2026-04-24T22:47:27.085Z,30.0,1.0,L,30.0,Lacteos,False,30.0,Alpura
Leche Lala fresca deslactosada y semidescremada 6 pack 1 l c/u,$173.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-fresca-deslactosada-y-semidescremada-6-pack-1-l-c-u/00750102056599?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,173.0,1.0,L,173.0,Lacteos,False,28.833333333333332,Lala
Leche Alpura deslactosada caja con 6 pzas de 1 l c/u,$172.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-caja-con-6-pzas-de-1-l-c-u/00750105591287?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,28.666666666666668,Alpura
Leche Santa Clara deslactosada caja con 6 pzas 1 l c/u,$180.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-caja-con-6-pzas-1-l-c-u/00750105536751?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,180.0,6.0,pzas,30.0,Lacteos,False,30.0,Santa Clara
Leche Alpura deslactosada 1.5 l,$45.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-1-5-l/00750105591027?from=/search,Bodega Aurrera,2026-04-24T22:48:57.440Z,45.0,1.5,L,30.0,Lacteos,False,30.0,Alpura
Leche Santa Clara deslactosada 1 l,$35.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-1-l/00750129560015?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,35.0,1.0,L,35.0,Lacteos,False,35.0,Santa Clara
Leche Alpura deslactosada light caja con 6 pzas de 1 l c/u,$172.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-light-caja-con-6-pzas-de-1-l-c-u/00750105591355?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,172.0,6.0,pzas,28.666666666666668,Lacteos,False,28.666666666666668,Alpura
Leche Santa Clara deslactosada 1.5 l,$55.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-1-5-l/00750105537544?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,55.0,1.5,L,36.66666666666666,Lacteos,False,36.666666666666664,Santa Clara
Leche Alpura deslactosada 1 l,$32.00,https://despensa.bodegaaurrera.com.mx/ip/leche-alpura-deslactosada-1-l/00750105590142?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,32.0,1.0,L,32.0,Lacteos,False,32.0,Alpura
Leche Great Value deslactosada 1 l,$20.00,https://despensa.bodegaaurrera.com.mx/ip/leche-great-value-deslactosada-1-l/00750649501421?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,20.0,1.0,L,20.0,Lacteos,False,20.0,Great Value
Leche Santa Clara deslactosada light caja con 6 pzas 1 l c/u,$180.00,https://despensa.bodegaaurrera.com.mx/ip/leche-santa-clara-deslactosada-light-caja-con-6-pzas-1-l-c-u/00750105537150?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,180.0,6.0,pzas,30.0,Lacteos,False,30.0,Santa Clara
Leche Lala UHT deslactosada y semidescremada reducida en grasa 1 l,$32.00,https://despensa.bodegaaurrera.com.mx/ip/leche-lala-uht-deslactosada-y-semidescremada-reducida-en-grasa-1-l/00750102056591?from=/search,Bodega Aurrera,2026-04-24T22:48:57.441Z,32.0,1.0,L,32.0,Lacteos,False,32.0,Lala
